0.518,1.009,1.748,2.5
0.514,1.001,1.768,2.5
0.51,0.994,1.76,2.5
0.505,0.986,1.76,2.5
0.499,0.981,1.755,2.5
0.495,0.973,1.752,2.5
0.491,0.964,1.736,2.5
0.486,0.956,1.734,2.5
0.481,0.946,1.683,2.5
0.475,0.934,1.655,2.5
0.47,0.921,1.607,2.5
0.465,0.907,1.575,2.5
0.46,0.896,1.551,2.5
0.456,0.886,1.533,2.5
0.451,0.876,1.496,2.464
0.446,0.863,1.461,2.414
0.441,0.853,1.422,2.352
0.437,0.845,1.403,2.351
0.432,0.838,1.387,2.306
0.426,0.829,1.359,2.222
0.421,0.822,1.35,2.209
0.417,0.811,1.328,2.174
0.412,0.8,1.317,2.156
0.407,0.793,1.299,2.117
0.4,0.78,1.282,2.063
0.396,0.771,1.273,2.045
0.39,0.761,1.25,2
0.385,0.752,1.236,1.957
0.379,0.74,1.225,1.931
0.374,0.728,1.208,1.905
0.369,0.716,1.187,1.852
0.363,0.704,1.172,1.775
0.358,0.692,1.148,1.734
0.353,0.682,1.137,1.706
0.348,0.672,1.121,1.653
0.344,0.664,1.11,1.616
0.339,0.656,1.092,1.577
0.333,0.646,1.068,1.528
0.329,0.638,1.054,1.495
0.325,0.631,1.038,1.475
0.321,0.624,1.021,1.439
0.317,0.617,1.012,1.422
0.314,0.61,0.994,1.388
0.31,0.601,0.967,1.344
0.306,0.593,0.955,1.327
0.302,0.586,0.926,1.292
0.299,0.581,0.912,1.272
0.295,0.575,0.9,1.256
0.29,0.565,0.887,1.239
0.287,0.559,0.877,1.226
0.282,0.55,0.864,1.201
0.278,0.54,0.851,1.178
0.273,0.53,0.834,1.155
0.269,0.522,0.82,1.126
0.265,0.511,0.804,1.094
0.261,0.502,0.794,1.069
0.256,0.494,0.781,1.046
0.252,0.485,0.77,1.025
0.247,0.476,0.755,0.997
0.242,0.468,0.744,0.979
0.237,0.458,0.726,0.952
0.233,0.45,0.714,0.93
0.228,0.442,0.703,0.912
0.223,0.434,0.691,0.892
0.218,0.427,0.678,0.868
0.214,0.421,0.67,0.85
0.209,0.413,0.656,0.827
0.206,0.408,0.645,0.81
0.201,0.401,0.635,0.797
0.197,0.394,0.624,0.778
0.193,0.389,0.616,0.765
0.189,0.383,0.604,0.751
0.184,0.376,0.591,0.737
0.181,0.37,0.581,0.723
0.177,0.363,0.571,0.707
0.173,0.356,0.561,0.694
0.169,0.351,0.551,0.682
0.167,0.345,0.542,0.67
0.163,0.339,0.529,0.661
0.159,0.333,0.521,0.654
0.155,0.326,0.511,0.639
0.153,0.321,0.501,0.629
0.15,0.316,0.493,0.617
0.148,0.312,0.487,0.608
0.144,0.308,0.477,0.598
0.142,0.304,0.469,0.588
0.138,0.3,0.459,0.577
0.137,0.297,0.453,0.567
0.136,0.293,0.445,0.556
0.133,0.287,0.438,0.545
0.131,0.285,0.429,0.535
0.129,0.281,0.423,0.526
0.127,0.276,0.415,0.514
0.124,0.272,0.409,0.502
0.122,0.268,0.398,0.494
0.119,0.264,0.392,0.485
0.116,0.258,0.384,0.475
0.113,0.254,0.378,0.466
0.11,0.25,0.371,0.459
0.107,0.247,0.363,0.449
0.105,0.243,0.357,0.441
0.102,0.239,0.352,0.433
0.099,0.235,0.345,0.425
0.096,0.231,0.339,0.415
0.094,0.227,0.334,0.405
0.092,0.225,0.33,0.398
0.09,0.221,0.326,0.391
0.088,0.218,0.319,0.385
0.085,0.215,0.311,0.378
0.084,0.212,0.305,0.372
