nm lambda,1,2,3,4,5,6,7,8
393.304,0.049,0.065,0.077,0.101,0.1,0.08,0.142,0.121
393.475,0.049,0.065,0.077,0.101,0.1,0.08,0.143,0.122
393.647,0.049,0.065,0.077,0.101,0.1,0.08,0.143,0.122
393.818,0.049,0.065,0.077,0.101,0.1,0.08,0.143,0.122
393.99,0.049,0.065,0.078,0.101,0.1,0.079,0.144,0.122
394.161,0.049,0.065,0.078,0.102,0.1,0.079,0.144,0.122
394.332,0.048,0.065,0.077,0.102,0.1,0.079,0.144,0.122
394.504,0.048,0.065,0.078,0.102,0.1,0.079,0.144,0.122
394.675,0.048,0.065,0.078,0.102,0.101,0.08,0.144,0.122
394.847,0.049,0.065,0.078,0.102,0.101,0.08,0.145,0.122
395.018,0.049,0.065,0.078,0.103,0.101,0.08,0.145,0.123
395.189,0.049,0.065,0.078,0.103,0.102,0.08,0.145,0.123
395.361,0.049,0.065,0.079,0.103,0.102,0.08,0.146,0.124
395.532,0.049,0.066,0.079,0.104,0.103,0.081,0.146,0.125
395.704,0.05,0.066,0.08,0.105,0.103,0.081,0.148,0.125
395.875,0.05,0.067,0.08,0.105,0.104,0.082,0.148,0.126
396.047,0.051,0.067,0.081,0.106,0.105,0.082,0.149,0.126
396.218,0.051,0.067,0.081,0.107,0.106,0.083,0.15,0.127
396.389,0.051,0.068,0.082,0.107,0.106,0.083,0.151,0.128
396.561,0.052,0.068,0.083,0.108,0.107,0.084,0.152,0.129
396.732,0.052,0.069,0.083,0.109,0.108,0.085,0.153,0.13
396.904,0.053,0.07,0.084,0.109,0.108,0.085,0.154,0.131
397.075,0.053,0.07,0.084,0.11,0.109,0.086,0.155,0.132
397.247,0.053,0.071,0.085,0.111,0.109,0.087,0.156,0.132
397.418,0.054,0.071,0.086,0.112,0.11,0.087,0.157,0.133
397.589,0.054,0.072,0.086,0.113,0.111,0.088,0.158,0.134
397.761,0.054,0.072,0.086,0.114,0.112,0.088,0.159,0.134
397.932,0.055,0.073,0.087,0.114,0.112,0.089,0.16,0.135
398.104,0.055,0.073,0.087,0.115,0.113,0.089,0.161,0.135
398.275,0.055,0.073,0.087,0.115,0.113,0.09,0.162,0.136
398.447,0.056,0.074,0.088,0.116,0.114,0.091,0.163,0.136
398.618,0.056,0.074,0.088,0.116,0.115,0.091,0.164,0.137
398.789,0.056,0.075,0.089,0.117,0.116,0.092,0.165,0.137
398.961,0.057,0.075,0.089,0.117,0.116,0.092,0.166,0.138
