nm lambda,1,2,3,4
453.529,0.11,0.099,0.083,0.016
453.701,0.11,0.099,0.083,0.016
453.872,0.11,0.098,0.083,0.016
454.044,0.11,0.097,0.082,0.016
454.216,0.11,0.098,0.082,0.016
454.388,0.109,0.097,0.082,0.015
454.559,0.109,0.097,0.082,0.015
454.731,0.109,0.097,0.083,0.015
454.903,0.109,0.097,0.084,0.015
455.075,0.108,0.098,0.084,0.016
455.246,0.108,0.097,0.085,0.015
455.418,0.108,0.097,0.085,0.016
455.59,0.109,0.097,0.085,0.016
455.762,0.109,0.097,0.086,0.015
455.933,0.11,0.098,0.087,0.015
456.105,0.111,0.098,0.088,0.015
456.277,0.112,0.099,0.088,0.016
456.449,0.112,0.099,0.089,0.016
456.621,0.112,0.099,0.089,0.016
456.792,0.112,0.099,0.089,0.016
456.964,0.112,0.099,0.088,0.015
457.136,0.112,0.1,0.088,0.015
457.308,0.112,0.1,0.087,0.015
457.479,0.113,0.101,0.086,0.015
457.651,0.113,0.101,0.086,0.015
457.823,0.113,0.1,0.085,0.016
457.995,0.113,0.1,0.084,0.016
458.167,0.113,0.1,0.084,0.016
458.338,0.113,0.1,0.084,0.016
458.51,0.112,0.1,0.083,0.015
458.682,0.113,0.1,0.083,0.016
458.854,0.113,0.1,0.083,0.016
459.025,0.113,0.101,0.083,0.016
459.197,0.114,0.1,0.083,0.017
459.369,0.115,0.101,0.084,0.018
459.541,0.115,0.101,0.084,0.018
459.713,0.115,0.101,0.084,0.018
459.884,0.115,0.101,0.085,0.019
460.056,0.116,0.101,0.086,0.019
460.228,0.116,0.101,0.087,0.02
460.4,0.116,0.1,0.086,0.02
460.572,0.116,0.101,0.086,0.02
460.743,0.116,0.101,0.086,0.02
460.915,0.115,0.1,0.085,0.019
461.087,0.116,0.1,0.085,0.019
461.259,0.115,0.1,0.085,0.019
461.431,0.115,0.1,0.084,0.019
461.602,0.115,0.1,0.084,0.019
461.774,0.114,0.099,0.084,0.018
461.946,0.114,0.099,0.083,0.018
462.118,0.114,0.099,0.083,0.018
462.29,0.115,0.099,0.083,0.018
462.461,0.114,0.099,0.083,0.017
462.633,0.115,0.099,0.083,0.017
462.805,0.116,0.099,0.083,0.017
462.977,0.116,0.099,0.083,0.017
463.149,0.117,0.1,0.083,0.018
463.32,0.117,0.101,0.083,0.018
463.492,0.117,0.101,0.084,0.018
463.664,0.118,0.101,0.085,0.018
463.836,0.118,0.101,0.084,0.018
464.008,0.118,0.101,0.085,0.018
464.18,0.118,0.102,0.085,0.018
464.351,0.119,0.102,0.086,0.018
464.523,0.119,0.103,0.087,0.019
464.695,0.119,0.103,0.087,0.019
464.867,0.119,0.103,0.087,0.019
465.039,0.118,0.103,0.086,0.019
465.21,0.118,0.103,0.086,0.019
465.382,0.118,0.103,0.086,0.018
465.554,0.119,0.103,0.087,0.019
465.726,0.12,0.104,0.087,0.019
465.898,0.12,0.103,0.087,0.019
466.07,0.12,0.102,0.087,0.019
466.241,0.121,0.103,0.087,0.019
466.413,0.122,0.104,0.088,0.02
466.585,0.122,0.104,0.088,0.02
466.757,0.123,0.104,0.088,0.02
466.929,0.123,0.104,0.088,0.02
467.101,0.124,0.104,0.088,0.021
467.272,0.124,0.104,0.089,0.02
467.444,0.124,0.105,0.09,0.02
467.616,0.124,0.104,0.09,0.02
467.788,0.125,0.105,0.09,0.021
467.96,0.125,0.106,0.09,0.021
468.132,0.125,0.106,0.091,0.021
468.303,0.126,0.107,0.092,0.021
468.475,0.126,0.107,0.092,0.022
468.647,0.126,0.108,0.093,0.022
468.819,0.125,0.107,0.093,0.022
468.991,0.126,0.108,0.093,0.022
469.163,0.126,0.109,0.094,0.022
469.335,0.127,0.11,0.095,0.023
469.506,0.128,0.111,0.095,0.023
469.678,0.129,0.112,0.096,0.024
469.85,0.129,0.113,0.096,0.024
470.022,0.13,0.113,0.096,0.024
470.194,0.13,0.114,0.096,0.024
470.366,0.132,0.116,0.096,0.025
470.538,0.133,0.116,0.097,0.025
470.709,0.133,0.117,0.096,0.025
470.881,0.134,0.118,0.097,0.025
471.053,0.135,0.118,0.097,0.025
471.225,0.135,0.118,0.097,0.025
471.397,0.136,0.119,0.098,0.025
471.569,0.136,0.119,0.098,0.026
471.741,0.137,0.119,0.098,0.026
471.912,0.137,0.12,0.098,0.025
472.084,0.137,0.12,0.098,0.025
472.256,0.138,0.12,0.098,0.025
472.428,0.138,0.12,0.099,0.025
472.6,0.138,0.119,0.099,0.025
472.772,0.139,0.118,0.099,0.024
472.944,0.139,0.118,0.099,0.024
473.115,0.14,0.119,0.1,0.025
473.287,0.14,0.12,0.101,0.025
473.459,0.141,0.119,0.101,0.025
473.631,0.142,0.119,0.102,0.025
473.803,0.142,0.119,0.102,0.026
473.975,0.143,0.12,0.102,0.025
474.147,0.143,0.12,0.102,0.026
474.319,0.143,0.12,0.102,0.026
474.49,0.144,0.121,0.102,0.026
474.662,0.145,0.121,0.102,0.026
474.834,0.145,0.122,0.103,0.027
475.006,0.146,0.123,0.103,0.027
475.178,0.146,0.123,0.103,0.027
475.35,0.147,0.124,0.103,0.027
475.522,0.148,0.125,0.104,0.028
475.694,0.149,0.125,0.104,0.028
475.865,0.15,0.126,0.104,0.028
476.037,0.15,0.126,0.104,0.028
476.209,0.151,0.127,0.104,0.028
476.381,0.151,0.128,0.104,0.028
476.553,0.152,0.128,0.104,0.028
476.725,0.152,0.128,0.104,0.028
476.897,0.153,0.129,0.104,0.029
477.069,0.153,0.13,0.104,0.029
477.241,0.154,0.131,0.105,0.03
477.413,0.155,0.131,0.106,0.03
477.584,0.156,0.131,0.106,0.031
477.756,0.157,0.132,0.107,0.032
477.928,0.157,0.132,0.107,0.032
478.1,0.158,0.132,0.108,0.032
478.272,0.158,0.133,0.108,0.033
478.444,0.159,0.133,0.109,0.033
478.616,0.16,0.133,0.109,0.034
478.788,0.161,0.134,0.109,0.034
478.96,0.161,0.134,0.11,0.034
479.132,0.162,0.135,0.11,0.035
479.303,0.163,0.135,0.111,0.035
479.475,0.164,0.136,0.111,0.035
479.647,0.164,0.136,0.111,0.034
479.819,0.165,0.136,0.111,0.035
479.991,0.165,0.136,0.111,0.034
480.163,0.166,0.137,0.111,0.035
480.335,0.167,0.138,0.111,0.035
480.507,0.167,0.139,0.111,0.035
480.679,0.168,0.139,0.112,0.035
480.851,0.169,0.141,0.112,0.035
481.023,0.169,0.141,0.112,0.035
481.194,0.169,0.142,0.112,0.035
481.366,0.17,0.142,0.113,0.035
481.538,0.171,0.143,0.114,0.035
481.71,0.172,0.144,0.114,0.036
481.882,0.172,0.144,0.115,0.036
