nm lambda,1,2,3,4,5,6,7,8
405.133,0.166,0.199,0.11,0.138,0.138,0.106,0.087,0.066
405.305,0.167,0.199,0.111,0.139,0.138,0.106,0.087,0.066
405.476,0.168,0.199,0.111,0.139,0.138,0.106,0.087,0.066
405.648,0.168,0.2,0.111,0.139,0.139,0.106,0.088,0.067
405.819,0.169,0.2,0.112,0.139,0.139,0.107,0.088,0.067
405.991,0.169,0.201,0.112,0.14,0.139,0.107,0.088,0.067
406.162,0.17,0.201,0.112,0.14,0.139,0.107,0.088,0.067
406.334,0.17,0.202,0.112,0.14,0.139,0.108,0.088,0.067
406.505,0.17,0.202,0.113,0.141,0.14,0.108,0.088,0.067
406.677,0.17,0.202,0.113,0.141,0.14,0.108,0.088,0.067
406.848,0.17,0.202,0.113,0.141,0.14,0.108,0.088,0.067
407.02,0.17,0.202,0.113,0.141,0.14,0.108,0.088,0.067
407.191,0.17,0.202,0.113,0.141,0.139,0.108,0.088,0.067
407.363,0.169,0.202,0.113,0.141,0.139,0.108,0.088,0.067
407.534,0.169,0.201,0.113,0.141,0.139,0.108,0.088,0.067
407.706,0.169,0.202,0.112,0.141,0.139,0.108,0.088,0.067
407.877,0.168,0.201,0.112,0.14,0.139,0.107,0.088,0.066
408.048,0.168,0.201,0.112,0.14,0.139,0.107,0.088,0.066
408.22,0.168,0.201,0.112,0.14,0.139,0.107,0.088,0.066
408.391,0.168,0.201,0.112,0.139,0.138,0.107,0.088,0.066
408.563,0.168,0.201,0.111,0.139,0.138,0.106,0.088,0.065
408.734,0.167,0.2,0.111,0.138,0.137,0.105,0.087,0.065
408.906,0.167,0.199,0.111,0.138,0.137,0.105,0.087,0.064
409.077,0.167,0.199,0.111,0.137,0.137,0.104,0.087,0.065
409.249,0.167,0.198,0.111,0.137,0.137,0.104,0.088,0.064
409.42,0.167,0.197,0.111,0.137,0.137,0.104,0.088,0.064
409.592,0.166,0.197,0.11,0.136,0.137,0.104,0.088,0.064
409.763,0.166,0.196,0.11,0.136,0.137,0.104,0.087,0.064
409.935,0.166,0.195,0.11,0.136,0.136,0.104,0.087,0.064
410.106,0.166,0.195,0.109,0.136,0.136,0.104,0.087,0.064
410.278,0.165,0.195,0.109,0.135,0.136,0.103,0.086,0.064
410.449,0.165,0.194,0.109,0.135,0.135,0.103,0.086,0.064
410.621,0.165,0.193,0.109,0.134,0.135,0.102,0.086,0.063
410.792,0.164,0.192,0.108,0.134,0.135,0.102,0.086,0.063
410.964,0.163,0.191,0.108,0.133,0.134,0.101,0.085,0.063
411.135,0.162,0.19,0.107,0.132,0.133,0.101,0.085,0.063
411.307,0.162,0.189,0.107,0.131,0.132,0.1,0.085,0.063
411.479,0.161,0.189,0.106,0.131,0.131,0.1,0.085,0.062
411.65,0.16,0.188,0.106,0.13,0.13,0.099,0.084,0.062
