nm lambda,1,2,3,4,5,6,7,8
394.847,1.483,1.255,1.193,1.095,1.154,0.701,0.602,0.247
395.018,1.475,1.251,1.189,1.092,1.15,0.7,0.6,0.246
395.189,1.469,1.247,1.185,1.088,1.146,0.698,0.598,0.245
395.361,1.464,1.244,1.182,1.087,1.144,0.696,0.597,0.245
395.532,1.457,1.24,1.178,1.083,1.14,0.694,0.595,0.244
395.704,1.453,1.237,1.174,1.08,1.137,0.692,0.594,0.243
395.875,1.449,1.233,1.17,1.078,1.134,0.69,0.592,0.242
396.047,1.444,1.229,1.167,1.075,1.132,0.688,0.59,0.241
396.218,1.44,1.226,1.163,1.071,1.129,0.686,0.588,0.241
396.389,1.437,1.221,1.162,1.068,1.127,0.684,0.587,0.24
396.561,1.432,1.218,1.158,1.065,1.123,0.682,0.585,0.239
396.732,1.427,1.213,1.155,1.062,1.122,0.68,0.583,0.239
396.904,1.421,1.208,1.152,1.057,1.119,0.678,0.581,0.238
397.075,1.419,1.206,1.15,1.054,1.117,0.676,0.579,0.237
397.247,1.414,1.201,1.148,1.051,1.113,0.674,0.577,0.237
397.418,1.41,1.197,1.145,1.047,1.111,0.672,0.576,0.236
397.589,1.407,1.193,1.142,1.042,1.107,0.67,0.574,0.235
397.761,1.404,1.189,1.14,1.039,1.104,0.668,0.572,0.235
397.932,1.397,1.185,1.135,1.034,1.099,0.666,0.57,0.234
398.104,1.391,1.181,1.132,1.03,1.095,0.664,0.568,0.234
398.275,1.385,1.177,1.127,1.025,1.091,0.662,0.567,0.233
398.447,1.379,1.172,1.123,1.021,1.087,0.659,0.565,0.233
398.618,1.376,1.17,1.119,1.018,1.083,0.658,0.563,0.232
398.789,1.372,1.167,1.116,1.015,1.08,0.656,0.562,0.232
398.961,1.366,1.163,1.111,1.011,1.075,0.655,0.56,0.231
399.132,1.361,1.159,1.108,1.007,1.071,0.653,0.558,0.23
399.304,1.355,1.157,1.104,1.004,1.067,0.651,0.556,0.23
399.475,1.349,1.153,1.099,1.001,1.063,0.648,0.555,0.229
399.647,1.344,1.15,1.095,0.998,1.059,0.646,0.553,0.228
399.818,1.342,1.148,1.092,0.996,1.056,0.645,0.551,0.227
399.989,1.338,1.144,1.089,0.994,1.053,0.643,0.55,0.226
400.161,1.333,1.14,1.085,0.99,1.05,0.641,0.548,0.225
400.332,1.331,1.137,1.081,0.989,1.047,0.64,0.546,0.224
400.504,1.329,1.134,1.079,0.986,1.046,0.638,0.545,0.223
400.675,1.325,1.131,1.076,0.984,1.043,0.637,0.543,0.223
400.847,1.321,1.128,1.073,0.982,1.041,0.635,0.541,0.222
401.018,1.316,1.124,1.07,0.978,1.037,0.633,0.54,0.221
401.19,1.312,1.121,1.066,0.975,1.033,0.63,0.538,0.22
401.361,1.307,1.118,1.063,0.972,1.03,0.628,0.536,0.22
401.533,1.304,1.115,1.06,0.969,1.027,0.626,0.535,0.219
401.704,1.3,1.111,1.058,0.967,1.024,0.625,0.533,0.218
401.875,1.297,1.109,1.056,0.964,1.021,0.623,0.532,0.218
402.047,1.292,1.105,1.052,0.961,1.018,0.62,0.53,0.217
402.218,1.29,1.101,1.05,0.959,1.015,0.619,0.529,0.217
402.39,1.286,1.098,1.047,0.955,1.013,0.616,0.527,0.216
402.561,1.284,1.096,1.044,0.952,1.009,0.615,0.526,0.216
402.733,1.282,1.093,1.042,0.95,1.006,0.614,0.524,0.215
402.904,1.277,1.09,1.039,0.947,1.003,0.612,0.523,0.214
403.076,1.272,1.087,1.035,0.944,0.999,0.61,0.521,0.214
403.247,1.269,1.084,1.033,0.941,0.997,0.608,0.519,0.213
403.419,1.265,1.08,1.03,0.939,0.994,0.606,0.518,0.212
403.59,1.261,1.076,1.027,0.937,0.991,0.604,0.517,0.211
403.762,1.258,1.073,1.025,0.935,0.989,0.603,0.515,0.21
403.933,1.255,1.07,1.021,0.932,0.986,0.601,0.514,0.209
404.104,1.251,1.066,1.017,0.929,0.983,0.6,0.512,0.209
404.276,1.249,1.063,1.014,0.926,0.981,0.598,0.511,0.208
404.447,1.246,1.061,1.011,0.924,0.979,0.597,0.509,0.208
404.619,1.243,1.058,1.008,0.921,0.977,0.595,0.508,0.207
404.79,1.238,1.055,1.005,0.918,0.973,0.593,0.506,0.206
404.962,1.233,1.051,1.001,0.915,0.969,0.591,0.504,0.206
405.133,1.228,1.049,0.998,0.911,0.966,0.589,0.503,0.205
405.305,1.226,1.046,0.996,0.909,0.965,0.588,0.501,0.205
405.476,1.223,1.044,0.994,0.907,0.962,0.586,0.5,0.205
405.648,1.221,1.042,0.992,0.905,0.96,0.585,0.499,0.204
405.819,1.218,1.039,0.99,0.903,0.958,0.582,0.498,0.204
405.991,1.217,1.037,0.989,0.9,0.956,0.581,0.496,0.203
406.162,1.213,1.034,0.986,0.898,0.955,0.579,0.495,0.202
406.334,1.21,1.032,0.984,0.895,0.952,0.577,0.494,0.202
406.505,1.207,1.03,0.982,0.893,0.95,0.576,0.492,0.201
406.677,1.204,1.027,0.979,0.891,0.947,0.574,0.491,0.201
406.848,1.2,1.024,0.975,0.889,0.944,0.572,0.489,0.2
407.02,1.197,1.022,0.974,0.886,0.942,0.57,0.488,0.2
407.191,1.195,1.019,0.973,0.886,0.94,0.569,0.487,0.199
407.363,1.193,1.016,0.971,0.884,0.939,0.567,0.486,0.198
