nm lambda,1,2,3,4,5,6,7,8,9,10,11,12
381.651,0.044,0.061,0.063,0.096,0.088,0.082,0.122,0.127,0.409,0.874,1.766,2.5
381.822,0.043,0.061,0.063,0.095,0.087,0.08,0.121,0.126,0.405,0.858,1.64,2.5
381.993,0.042,0.06,0.063,0.095,0.085,0.08,0.12,0.124,0.404,0.851,1.617,2.5
382.165,0.042,0.059,0.064,0.095,0.084,0.08,0.121,0.126,0.403,0.843,1.581,2.5
382.336,0.042,0.059,0.064,0.095,0.085,0.079,0.121,0.126,0.403,0.84,1.574,2.5
382.507,0.044,0.06,0.065,0.096,0.086,0.08,0.123,0.126,0.403,0.829,1.521,2.5
382.679,0.043,0.06,0.065,0.096,0.086,0.08,0.125,0.125,0.403,0.822,1.492,2.5
382.85,0.043,0.06,0.066,0.095,0.086,0.08,0.126,0.124,0.404,0.813,1.471,2.5
383.021,0.044,0.061,0.067,0.096,0.086,0.08,0.127,0.123,0.405,0.808,1.445,2.5
383.193,0.044,0.062,0.068,0.096,0.087,0.08,0.128,0.123,0.405,0.802,1.431,2.5
383.364,0.043,0.061,0.067,0.094,0.087,0.079,0.129,0.122,0.404,0.799,1.423,2.402
383.535,0.043,0.061,0.066,0.094,0.087,0.079,0.128,0.122,0.405,0.801,1.434,2.5
383.707,0.042,0.06,0.065,0.092,0.087,0.079,0.129,0.122,0.407,0.799,1.411,2.493
383.878,0.042,0.061,0.065,0.091,0.087,0.079,0.13,0.121,0.407,0.791,1.392,2.357
384.049,0.042,0.06,0.065,0.091,0.087,0.079,0.13,0.12,0.409,0.791,1.389,2.349
384.221,0.043,0.059,0.065,0.09,0.087,0.079,0.129,0.12,0.41,0.793,1.384,2.311
384.392,0.043,0.059,0.064,0.09,0.087,0.078,0.129,0.119,0.411,0.796,1.378,2.313
384.564,0.043,0.06,0.063,0.091,0.087,0.079,0.13,0.118,0.411,0.798,1.361,2.247
384.735,0.043,0.06,0.063,0.091,0.088,0.079,0.129,0.117,0.413,0.801,1.367,2.29
384.906,0.044,0.061,0.064,0.092,0.089,0.08,0.13,0.118,0.414,0.804,1.37,2.294
385.078,0.044,0.061,0.064,0.092,0.091,0.081,0.13,0.119,0.415,0.803,1.355,2.281
385.249,0.044,0.061,0.065,0.092,0.091,0.08,0.13,0.119,0.415,0.801,1.349,2.26
385.42,0.044,0.061,0.065,0.092,0.091,0.08,0.129,0.12,0.415,0.798,1.343,2.179
385.592,0.045,0.061,0.065,0.092,0.092,0.08,0.129,0.12,0.415,0.801,1.354,2.213
385.763,0.045,0.06,0.066,0.093,0.091,0.08,0.128,0.12,0.415,0.8,1.352,2.236
385.934,0.045,0.061,0.066,0.092,0.09,0.079,0.127,0.119,0.414,0.798,1.349,2.184
386.106,0.045,0.061,0.066,0.093,0.09,0.08,0.127,0.119,0.416,0.798,1.35,2.197
